Submission Date,Your Name,The Name of Your Organization,Your Job Title,Please select the option/s that apply to you,z_code_relation_type,z_code_raw,z_code_label,z_code,Count Specializations,Count Interferences,NORMALIZED COUNT SPECIALTIES,NORMALIZED COUNT INTERFERENCES,Z_Group
12/4/2025,Ryan Cormack,Seneca,Intake Coordinator,Operations,interfere,Unavailability and inaccessibility of other helping agencies (Z75.4),Unavailability and inaccessibility of other helping agencies,Z75.4,0,1,0.0,1.0,75
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Illiteracy and low-level literacy (Z55.0),Illiteracy and low-level literacy,Z55.0,1,1,0.5,0.5,55
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Underachievement in school (Z55.3),Underachievement in school,Z55.3,1,0,0.5,0.0,55
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,"Unemployment, unspecified (Z56.0)","Unemployment, unspecified",Z56.0,1,1,0.5,0.5,56
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Change of job (Z56.1),Change of job,Z56.1,1,1,0.5,0.5,56
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Threat of job loss (Z56.2),Threat of job loss,Z56.2,1,0,0.5,0.0,56
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Unspecified problems related to employment (Z56.9),Unspecified problems related to employment,Z56.9,1,1,0.5,0.5,56
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Homelessness (Z59.0),Homelessness,Z59.0,1,1,0.5,0.5,59
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Inadequate housing (Z59.1),Inadequate housing,Z59.1,1,1,0.5,0.5,59
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Problems related to living in residential institution (Z59.3),Problems related to living in residential institution,Z59.3,1,0,0.5,0.0,59
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Lack of adequate food and safe drinking water (Z59.4),Lack of adequate food and safe drinking water,Z59.4,2,0,1.0,0.0,59
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Extreme poverty (Z59.5),Extreme poverty,Z59.5,1,1,0.5,0.5,59
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Low income (Z59.6),Low income,Z59.6,1,1,0.5,0.5,59
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Insufficient social insurance and welfare support (Z59.7),Insufficient social insurance and welfare support,Z59.7,2,1,1.0,0.5,59
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Problems related to living alone (Z60.2),Problems related to living alone,Z60.2,1,1,0.5,0.5,60
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Personal history of unspecified abuse in childhood (Z62.819),Personal history of unspecified abuse in childhood,Z62.819,1,1,0.5,0.5,62
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Absence of family member (Z63.3),Absence of family member,Z63.3,1,0,0.5,0.0,63
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Disappearance and death of family member (Z63.4),Disappearance and death of family member,Z63.4,1,0,0.5,0.0,63
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Disruption of family by separation and divorce (Z63.5),Disruption of family by separation and divorce,Z63.5,1,0,0.5,0.0,63
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Dependent relative needing care at home (Z63.6),Dependent relative needing care at home,Z63.6,1,1,0.5,0.5,63
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Alcoholism and drug addiction in family (Z63.72),Alcoholism and drug addiction in family,Z63.72,1,0,0.5,0.0,63
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,Victim of crime and terrorism (Z65.4),Victim of crime and terrorism,Z65.4,1,0,0.5,0.0,65
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,specialize,"Exposure to disaster, war and other hostilities (Z65.5)","Exposure to disaster, war and other hostilities",Z65.5,1,1,0.5,0.5,65
12/4/2025,Mikel Priddy,Nourish Pierce County,Director of Operations,Direct Service Provider,interfere,Illiteracy and low-level literacy (Z55.0),Illiteracy and low-level literacy,Z55.0,1,1,0.5,0.5,55
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,"Unemployment, unspecified (Z56.0)","Unemployment, unspecified",Z56.0,4,19,0.2,1.1,56
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Change of job (Z56.1),Change of job,Z56.1,1,0,0.1,0.0,56
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Threat of job loss (Z56.2),Threat of job loss,Z56.2,2,9,0.1,0.5,56
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Homelessness (Z59.0),Homelessness,Z59.0,9,19,0.5,1.1,59
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Inadequate housing (Z59.1),Inadequate housing,Z59.1,8,20,0.4,1.1,59
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Extreme poverty (Z59.5),Extreme poverty,Z59.5,7,18,0.4,1.0,59
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Low income (Z59.6),Low income,Z59.6,10,20,0.6,1.1,59
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Insufficient social insurance and welfare support (Z59.7),Insufficient social insurance and welfare support,Z59.7,7,15,0.4,0.8,59
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,"Problems related to housing and economic circumstances, unspecified (Z59.9)","Problems related to housing and economic circumstances, unspecified",Z59.9,8,12,0.4,0.7,59
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Alcoholism and drug addiction in family (Z63.72),Alcoholism and drug addiction in family,Z63.72,8,17,0.4,0.9,63
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Conviction in civil and criminal proceedings without imprisonment (Z65.0),Conviction in civil and criminal proceedings without imprisonment,Z65.0,14,14,0.8,0.8,65
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Imprisonment and other incarceration (Z65.1),Imprisonment and other incarceration,Z65.1,18,19,1.0,1.1,65
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Problems related to the release from prison (Z65.2),Problems related to the release from prison,Z65.2,12,17,0.7,0.9,65
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Problems related to other legal circumstances (Z65.3),Problems related to other legal circumstances,Z65.3,16,19,0.9,1.1,65
11/20/2025,Alicia McCormick,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,Alcoholism and drug addiction in family (Z63.72),Alcoholism and drug addiction in family,Z63.72,8,17,0.4,0.9,63
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Conviction in civil and criminal proceedings without imprisonment (Z65.0),Conviction in civil and criminal proceedings without imprisonment,Z65.0,14,14,0.8,0.8,65
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,specialize,Imprisonment and other incarceration (Z65.1),Imprisonment and other incarceration,Z65.1,18,19,1.0,1.1,65
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,Illiteracy and low-level literacy (Z55.0),Illiteracy and low-level literacy,Z55.0,1,12,0.1,0.7,55
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,"Unemployment, unspecified (Z56.0)","Unemployment, unspecified",Z56.0,4,19,0.2,1.1,56
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,Homelessness (Z59.0),Homelessness,Z59.0,9,19,0.5,1.1,59
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,Inadequate housing (Z59.1),Inadequate housing,Z59.1,8,20,0.4,1.1,59
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,Lack of adequate food and safe drinking water (Z59.4),Lack of adequate food and safe drinking water,Z59.4,2,11,0.1,0.6,59
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,Extreme poverty (Z59.5),Extreme poverty,Z59.5,7,18,0.4,1.0,59
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,Low income (Z59.6),Low income,Z59.6,10,20,0.6,1.1,59
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,Insufficient social insurance and welfare support (Z59.7),Insufficient social insurance and welfare support,Z59.7,7,15,0.4,0.8,59
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,"Problems related to housing and economic circumstances, unspecified (Z59.9)","Problems related to housing and economic circumstances, unspecified",Z59.9,8,12,0.4,0.7,59
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,Unavailability and inaccessibility of health care facilities (Z75.3),Unavailability and inaccessibility of health care facilities,Z75.3,3,12,0.2,0.7,75
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,Imprisonment and other incarceration (Z65.1),Imprisonment and other incarceration,Z65.1,18,19,1.0,1.1,65
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,Problems related to the release from prison (Z65.2),Problems related to the release from prison,Z65.2,12,17,0.7,0.9,65
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,Problems related to other legal circumstances (Z65.3),Problems related to other legal circumstances,Z65.3,16,19,0.9,1.1,65
11/19/2025,Nick Ainslie,Pierce County Department of Assigned Counsel,Public Defender,Direct Service Provider,interfere,Victim of crime and terrorism (Z65.4),Victim of crime and terrorism,Z65.4,7,13,0.4,0.7,65
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Illiteracy and low-level literacy (Z55.0),Illiteracy and low-level literacy,Z55.0,1,12,0.1,0.7,55
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Schooling unavailable and unattainable (Z55.1),Schooling unavailable and unattainable,Z55.1,1,7,0.1,0.4,55
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,"Unemployment, unspecified (Z56.0)","Unemployment, unspecified",Z56.0,4,19,0.2,1.1,56
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Threat of job loss (Z56.2),Threat of job loss,Z56.2,2,9,0.1,0.5,56
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Unspecified problems related to employment (Z56.9),Unspecified problems related to employment,Z56.9,1,4,0.1,0.2,56
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Homelessness (Z59.0),Homelessness,Z59.0,9,19,0.5,1.1,59
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Inadequate housing (Z59.1),Inadequate housing,Z59.1,8,20,0.4,1.1,59
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,"Discord with neighbors, lodgers and landlord (Z59.2)","Discord with neighbors, lodgers and landlord",Z59.2,2,9,0.1,0.5,59
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Lack of adequate food and safe drinking water (Z59.4),Lack of adequate food and safe drinking water,Z59.4,2,11,0.1,0.6,59
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Extreme poverty (Z59.5),Extreme poverty,Z59.5,7,18,0.4,1.0,59
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Low income (Z59.6),Low income,Z59.6,10,20,0.6,1.1,59
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Insufficient social insurance and welfare support (Z59.7),Insufficient social insurance and welfare support,Z59.7,7,15,0.4,0.8,59
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Social exclusion and rejection (Z60.4),Social exclusion and rejection,Z60.4,2,9,0.1,0.5,60
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Institutional upbringing (Z62.22),Institutional upbringing,Z62.22,4,8,0.2,0.4,62
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Personal history of neglect in childhood (Z62.812),Personal history of neglect in childhood,Z62.812,4,12,0.2,0.7,62
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Personal history of unspecified abuse in childhood (Z62.819),Personal history of unspecified abuse in childhood,Z62.819,4,11,0.2,0.6,62
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Problems in relationship with spouse or partner (Z63.0),Problems in relationship with spouse or partner,Z63.0,4,11,0.2,0.6,63
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Disappearance and death of family member (Z63.4),Disappearance and death of family member,Z63.4,3,9,0.2,0.5,63
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Dependent relative needing care at home (Z63.6),Dependent relative needing care at home,Z63.6,3,4,0.2,0.2,63
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Alcoholism and drug addiction in family (Z63.72),Alcoholism and drug addiction in family,Z63.72,8,17,0.4,0.9,63
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Conviction in civil and criminal proceedings without imprisonment (Z65.0),Conviction in civil and criminal proceedings without imprisonment,Z65.0,14,14,0.8,0.8,65
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Imprisonment and other incarceration (Z65.1),Imprisonment and other incarceration,Z65.1,18,19,1.0,1.1,65
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Problems related to the release from prison (Z65.2),Problems related to the release from prison,Z65.2,12,17,0.7,0.9,65
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Problems related to other legal circumstances (Z65.3),Problems related to other legal circumstances,Z65.3,16,19,0.9,1.1,65
11/18/2025,Ryan Saunders,Pierce County Department of Assigned Counsel,County Attorney 1,I am a public defender,interfere,Victim of crime and terrorism (Z65.4),Victim of crime and terrorism,Z65.4,7,13,0.4,0.7,65
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Illiteracy and low-level literacy (Z55.0),Illiteracy and low-level literacy,Z55.0,1,12,0.1,0.7,55
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Schooling unavailable and unattainable (Z55.1),Schooling unavailable and unattainable,Z55.1,1,7,0.1,0.4,55
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Underachievement in school (Z55.3),Underachievement in school,Z55.3,1,7,0.1,0.4,55
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,"Unemployment, unspecified (Z56.0)","Unemployment, unspecified",Z56.0,4,19,0.2,1.1,56
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Threat of job loss (Z56.2),Threat of job loss,Z56.2,2,9,0.1,0.5,56
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Homelessness (Z59.0),Homelessness,Z59.0,9,19,0.5,1.1,59
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Inadequate housing (Z59.1),Inadequate housing,Z59.1,8,20,0.4,1.1,59
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,"Discord with neighbors, lodgers and landlord (Z59.2)","Discord with neighbors, lodgers and landlord",Z59.2,2,9,0.1,0.5,59
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Lack of adequate food and safe drinking water (Z59.4),Lack of adequate food and safe drinking water,Z59.4,2,11,0.1,0.6,59
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Extreme poverty (Z59.5),Extreme poverty,Z59.5,7,18,0.4,1.0,59
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Low income (Z59.6),Low income,Z59.6,10,20,0.6,1.1,59
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Unavailability and inaccessibility of health care facilities (Z75.3),Unavailability and inaccessibility of health care facilities,Z75.3,3,12,0.2,0.7,75
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Unavailability and inaccessibility of other helping agencies (Z75.4),Unavailability and inaccessibility of other helping agencies,Z75.4,4,10,0.2,0.6,75
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Social exclusion and rejection (Z60.4),Social exclusion and rejection,Z60.4,2,9,0.1,0.5,60
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Personal history of physical or sexual abuse in childhood (Z62.810),Personal history of physical or sexual abuse in childhood,Z62.810,4,11,0.2,0.6,62
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Personal history of psychological abuse in childhood (Z62.811),Personal history of psychological abuse in childhood,Z62.811,4,11,0.2,0.6,62
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Personal history of neglect in childhood (Z62.812),Personal history of neglect in childhood,Z62.812,4,12,0.2,0.7,62
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Personal history of unspecified abuse in childhood (Z62.819),Personal history of unspecified abuse in childhood,Z62.819,4,11,0.2,0.6,62
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Parent-child conflict (Z62.82),Parent-child conflict,Z62.82,4,5,0.2,0.3,62
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Problems in relationship with spouse or partner (Z63.0),Problems in relationship with spouse or partner,Z63.0,4,11,0.2,0.6,63
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Absence of family member (Z63.3),Absence of family member,Z63.3,5,8,0.3,0.4,63
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Disappearance and death of family member (Z63.4),Disappearance and death of family member,Z63.4,3,9,0.2,0.5,63
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Alcoholism and drug addiction in family (Z63.72),Alcoholism and drug addiction in family,Z63.72,8,17,0.4,0.9,63
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Imprisonment and other incarceration (Z65.1),Imprisonment and other incarceration,Z65.1,18,19,1.0,1.1,65
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Problems related to the release from prison (Z65.2),Problems related to the release from prison,Z65.2,12,17,0.7,0.9,65
11/17/2025,Megan Dunn,Pierce County Department of Assigned Counsel,Attorney,Attorney,interfere,Problems related to other legal circumstances (Z65.3),Problems related to other legal circumstances,Z65.3,16,19,0.9,1.1,65
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Illiteracy and low-level literacy (Z55.0),Illiteracy and low-level literacy,Z55.0,1,12,0.1,0.7,55
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Schooling unavailable and unattainable (Z55.1),Schooling unavailable and unattainable,Z55.1,1,7,0.1,0.4,55
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Underachievement in school (Z55.3),Underachievement in school,Z55.3,1,7,0.1,0.4,55
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Educational maladjustment and discord with teachers and classmates (Z55.4),Educational maladjustment and discord with teachers and classmates,Z55.4,1,5,0.1,0.3,55
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,"Problems related to education and literacy, unspecified (Z55.9)","Problems related to education and literacy, unspecified",Z55.9,2,9,0.1,0.5,55
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,"Unemployment, unspecified (Z56.0)","Unemployment, unspecified",Z56.0,4,19,0.2,1.1,56
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Homelessness (Z59.0),Homelessness,Z59.0,9,19,0.5,1.1,59
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Inadequate housing (Z59.1),Inadequate housing,Z59.1,8,20,0.4,1.1,59
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Problems related to living in residential institution (Z59.3),Problems related to living in residential institution,Z59.3,2,5,0.1,0.3,59
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Lack of adequate food and safe drinking water (Z59.4),Lack of adequate food and safe drinking water,Z59.4,2,11,0.1,0.6,59
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Extreme poverty (Z59.5),Extreme poverty,Z59.5,7,18,0.4,1.0,59
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Low income (Z59.6),Low income,Z59.6,10,20,0.6,1.1,59
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Insufficient social insurance and welfare support (Z59.7),Insufficient social insurance and welfare support,Z59.7,7,15,0.4,0.8,59
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,"Problems related to housing and economic circumstances, unspecified (Z59.9)","Problems related to housing and economic circumstances, unspecified",Z59.9,8,12,0.4,0.7,59
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Inadequate parental supervision and control (Z62.0),Inadequate parental supervision and control,Z62.0,2,4,0.1,0.2,62
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Parental overprotection (Z62.1),Parental overprotection,Z62.1,1,1,0.1,0.1,62
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Upbringing away from parents (Z62.2),Upbringing away from parents,Z62.2,2,3,0.1,0.2,62
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Child in welfare custody (Z62.21),Child in welfare custody,Z62.21,3,6,0.2,0.3,62
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Institutional upbringing (Z62.22),Institutional upbringing,Z62.22,4,8,0.2,0.4,62
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Hostility towards or scapegoating of a child (Z62.3),Hostility towards or scapegoating of a child,Z62.3,1,2,0.1,0.1,62
11/14/2025,Melissa Gomez,Pierce County Department of Assigned Counsel,attorney,Direct Service Provider,specialize,Inappropriate or excessive parental pressure (Z62.6),Inappropriate or excessive parental pressure,Z62.6,2,3,0.1,0.2,62
